group	source	destination	file_count	bytes
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件12-全流程参数没优化）/dexbot_ros2_ws/src/dexbot_middle_layer/CutTofo/toolbox/cuttofo_calibration/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件12-全流程参数没优化）/dexbot_ros2_ws/src/dexbot_middle_layer/CutTofo/toolbox/cuttofo_calibration/.project-log	4	37632
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件12-全流程参数没优化）/dexbot_ros2_ws/src/gui/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件12-全流程参数没优化）/dexbot_ros2_ws/src/gui/.project-log	24	125948
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件12-全流程参数没优化）/dexbot_ros2_ws/src/gui_backup/gui/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件12-全流程参数没优化）/dexbot_ros2_ws/src/gui_backup/gui/.project-log	3	38894
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件12-全流程参数没优化）/dexbot_ros2_ws/src/gui_backup/gui2/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件12-全流程参数没优化）/dexbot_ros2_ws/src/gui_backup/gui2/.project-log	3	59283
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/cuttofo_xcore/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/cuttofo_xcore/.project-log	29	581202
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/dexbot_middle_layer/CutTofo/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/dexbot_middle_layer/CutTofo/.project-log	18	69181
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/dexbot_middle_layer/CutTofo/toolbox/cuttofo_calibration/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/dexbot_middle_layer/CutTofo/toolbox/cuttofo_calibration/.project-log	4	37660
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/gui/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/gui/.project-log	24	125948
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/gui_backup/gui/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/gui_backup/gui/.project-log	3	43710
cucumber	cucumber/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/gui_backup/gui2/.project-log	cucumber/project-logs/备份/dexbot_ros2_ws_525（附件14-saurce备份）/dexbot_ros2_ws/src/gui_backup/gui2/.project-log	3	64099
